time,signal
0,2079
0.004,2079
0.008,2079
0.012,2079
0.016,2080
0.02,2080
0.024,2079
0.028,2078
0.032,2077
0.036,2075
0.04,2075
0.044,2076
0.048,2076
0.052,2077
0.056,2074
0.06,2076
0.064,2075
0.068,2077
0.072,2079
0.076,2085
0.08,2088
0.084,2091
0.088,2102
0.092,2112
0.096,2124
0.1,2134
0.104,2144
0.108,2154
0.112,2165
0.116,2168
0.12,2177
0.124,2183
0.128,2185
0.132,2187
0.136,2192
0.14,2196
0.144,2193
0.148,2197
0.152,2196
0.156,2200
0.16,2196
0.164,2198
0.168,2197
0.172,2192
0.176,2192
0.18,2193
0.184,2194
0.188,2201
0.192,2222
0.196,2253
0.2,2285
0.204,2319
0.208,2356
0.212,2388
0.216,2438
0.22,2517
0.224,2588
0.228,2660
0.232,2727
0.236,2762
0.24,2832
0.244,2939
0.248,3061
0.252,3167
0.256,3276
0.26,3321
0.264,3334
0.268,3219
0.272,3038
0.276,2788
0.28,2503
0.284,2278
0.288,2123
0.292,2080
0.296,2065
0.3,2055
0.304,2044
0.308,2029
0.312,2016
0.316,2017
0.32,2017
0.324,2010
0.328,2008
0.332,2005
0.336,1998
0.34,1992
0.344,1988
0.348,1985
0.352,1973
0.356,1965
0.36,1958
0.364,1954
0.368,1946
0.372,1934
0.376,1932
0.38,1923
0.384,1915
0.388,1903
0.392,1898
0.396,1891
0.4,1878
0.404,1870
0.408,1863
0.412,1856
0.416,1844
0.42,1838
0.424,1835
0.428,1836
0.432,1834
0.436,1836
0.44,1840
0.444,1852
0.448,1865
0.452,1884
0.456,1909
0.46,1933
0.464,1951
0.468,1970
0.472,1996
0.476,2022
0.48,2038
0.484,2055
0.488,2068
0.492,2084
0.496,2091
0.5,2097
0.504,2106
0.508,2112
0.512,2120
0.516,2121
0.52,2125
0.524,2130
0.528,2130
0.532,2127
0.536,2132
0.54,2132
0.544,2128
0.548,2127
0.552,2125
0.556,2125
0.56,2124
0.564,2121
0.568,2117
0.572,2117
0.576,2117
0.58,2119
0.584,2119
0.588,2119
0.592,2117
0.596,2115
0.6,2113
0.604,2112
0.608,2113
0.612,2108
0.616,2105
0.62,2100
0.624,2099
0.628,2114
0.632,2116
0.636,2118
0.64,2119
0.644,2120
0.648,2116
0.652,2121
0.656,2117
0.66,2114
0.664,2116
0.668,2113
0.672,2113
0.676,2113
0.68,2115
0.684,2115
0.688,2113
0.692,2114
0.696,2110
0.7,2108
0.704,2113
0.708,2111
0.712,2106
0.716,2084
0.72,2051
0.724,2070
0.728,2196
0.732,2347
0.736,2529
0.74,2846
0.744,3004
0.748,2882
0.752,2862
0.756,2819
0.76,2652
0.764,2488
0.768,2383
0.772,2295
0.776,2202
0.78,2119
0.784,2078
0.788,2065
0.792,2055
0.796,2049
0.8,2046
0.804,2037
0.808,2035
0.812,2035
0.816,2032
0.82,2030
0.824,2032
0.828,2033
0.832,2034
0.836,2030
0.84,2025
0.844,2025
0.848,2022
0.852,2016
0.856,2013
0.86,2009
0.864,2011
0.868,2009
0.872,2005
0.876,2005
0.88,2005
0.884,2003
0.888,2001
0.892,2003
0.896,2004
0.9,2002
0.904,1997
0.908,1990
0.912,1986
0.916,1980
0.92,1978
0.924,1975
0.928,1973
0.932,1977
0.936,1974
0.94,1977
0.944,1984
0.948,1994
0.952,2006
0.956,2012
0.96,2022
0.964,2032
0.968,2044
0.972,2056
0.976,2060
0.98,2066
0.984,2071
0.988,2075
0.992,2075
0.996,2079
1,2083
1.004,2087
1.008,2086
1.012,2087
1.016,2087
1.02,2081
1.024,2082
1.028,2081
1.032,2085
1.036,2089
1.04,2087
1.044,2087
1.048,2088
1.052,2087
1.056,2087
1.06,2085
1.064,2087
1.068,2088
1.072,2086
1.076,2084
1.08,2082
1.084,2076
1.088,2076
1.092,2070
1.096,2062
1.1,2061
1.104,2061
1.108,2061
1.112,2056
1.116,2059
1.12,2060
1.124,2058
1.128,2058
1.132,2058
1.136,2058
1.14,2058
1.144,2057
1.148,2056
1.152,2059
1.156,2058
1.16,2058
1.164,2060
1.168,2058
1.172,2061
1.176,2065
1.18,2064
1.184,2063
1.188,2063
1.192,2067
1.196,2069
1.2,2069
1.204,2070
1.208,2071
1.212,2072
1.216,2069
1.22,2066
1.224,2066
1.228,2062
1.232,2064
1.236,2057
1.24,2055
1.244,2055
1.248,2054
1.252,2051
1.256,2050
